钱包地址,节点类型,当前等级,membership等级,状态,付费类型,购买金额,购买TX,金库存入(45D+),金库总存入,金库计划,是否激活金库,直推大节点,直推小节点,节点收益,经纪人收益,earnings_capacity,问题标记
0xbeD58351A48C88db6ACAcF199D2E950f0fE92B3d,MAX,V0,-,PENDING_MILESTONES,真实付费,6000,0x2dbf10bb070c197cd9f142608005d201a2793a16c47de3aa235c6637b64027c1,0,0,-,否,0,0,0.00,0.00,0,正常
0xcc3C0a844Ede9661a8535ab9eE674268CD1780EF,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0xCca08d35AE5B1CaE8C317d10F841787242e0EdF2,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,1,0,0.00,0.00,0,正常
0x00B7060a33767Fa08bEC576EBbB950386cCFc9df,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,2,0,0.00,0.00,0,正常
0x1C5ab0D0DAeFE9B05072DA64ae94577d698214d6,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,0,0,0.00,0.00,0,正常
0x24A7caE026A43aF6E37D7Df0a3d320349b5Be3B5,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,0,0,0.00,0.00,0,正常
0xd733C9C1B3F48793F81926f4ee2101c46c4b09aE,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,1,0,0.00,0.00,0,正常
0xD86661E102f858Cb4cBCF22B9eBcae68B3BfBe49,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,1,0,0.00,0.00,0,正常
0xDB0f0855bE88e7411E9483FB423d186f71e44534,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0xdb1174843fEE926e88c38C6598e381bf8d28aA71,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x7F46237Ac0AadA612FAB6296102a3DF04501b081,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,0,0,0.00,0.00,0,正常
0xe049AB136B4f5b0DA7541FF3Ad33766007fa9E8d,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0xe0b426040e22516a4351A3E29E1ba264476d561D,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,1,0,0.00,0.00,0,正常
0xe449e212EDE31720088BA46496DE85Ddce0F5B15,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,7,0,0.00,0.00,0,正常
0xe5B97Ef0bd8Cb448e7A9Add9c3d61a8eBA83a8F7,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
